Sequence	PathDelay
strash;rewrite;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13792
strash;rewrite -z;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13793
strash;refactor;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13793
strash;refactor -z;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	14303
strash;rewrite -z;rewrite;refactor -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13789
strash;resub -K 8;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13792
strash;dc2;rewrite -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	14297
strash;rewrite;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13792
strash;rewrite -z;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13792
strash;refactor;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13676
strash;refactor -z;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13679
strash;resub -K 8;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13681
strash;dc2;refactor;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13682
strash;rewrite;refactor -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13679
strash;rewrite -z;refactor -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13795
strash;dc2;rewrite -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13681
strash;refactor;rewrite;refactor -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	13676
strash;refactor;refactor -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	
strash;refactor -z;refactor -z;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	
