Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
436	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	26.272	5.835(23%)	20.437(77%)	23	7301	0	7301	2784	0	2414	   7231
437	&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&dch;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&b;&syn2;&if -W 300 -K 6 -v;&mfs;	18.478	4.327(24%)	14.151(76%)	24	7206	0	7206	2784	0	2414	   7112
438	&scorr;&sweep;&b;&dch;&b;&if -W 300 -K 6 -v;&mfs;	20.741	4.471(22%)	16.270(78%)	22	7571	0	7571	2784	0	2879	   7469
439	&scorr;&sweep;&dch;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	21.999	4.719(22%)	17.280(78%)	22	7380	0	7380	2784	0	2877	   7487
440	&scorr;&sweep;&dch;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;	20.414	4.582(23%)	15.832(77%)	23	7628	0	7628	2784	0	2880	   7563
441	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   7636
442	&scorr;&sweep;&b;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn4;&b;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   7923
443	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;										1533	   8386
444	&scorr;&sweep;&syn2;&syn3;&if -W 300 -K 6 -v;&mfs;	20.936	4.595(22%)	16.341(78%)	22	7316	0	7316	2784	0	2414	   7255
445	&scorr;&sweep;&synch2;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	20.025	4.471(23%)	15.554(77%)	23	7445	0	7445	2784	0	2876	   7549
446	&scorr;&sweep;&if -W 300 -g -K 6;&b;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   7904
447	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	19.381	4.210(22%)	15.171(78%)	22	7695	0	7695	2784	0	2416	   7592
448	&scorr;&sweep;&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	28.612	6.207(22%)	22.405(78%)	22	7466	0	7466	2784	0	2881	   7583
449	&scorr;&sweep;&synch2;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.680	4.158(21%)	16.522(79%)	21	7662	0	7662	2784	0	2414	   7613
450	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.533	4.471(22%)	16.062(78%)	22	7337	0	7337	2784	0	2414	   7249
451	&scorr;&sweep;&syn2;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;	19.516	3.851(20%)	15.665(80%)	20	7733	0	7733	2784	0	2414	   7726
452	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.759	4.347(21%)	16.412(79%)	21	7484	0	7484	2784	0	2414	   7378
453	&scorr;&sweep;&dc2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	25.450	5.463(22%)	19.987(78%)	22	7467	0	7467	2784	0	2881	   7373
454	&scorr;&sweep;&synch2;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	20.091	4.437(23%)	15.654(77%)	23	7785	0	7785	2784	0	2876	   7802
455	&scorr;&sweep;&syn4;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	20.186	4.327(22%)	15.859(78%)	22	7715	0	7715	2784	0	2414	   7633
456	&scorr;&sweep;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	20.611	4.595(23%)	16.016(77%)	23	7344	0	7344	2784	0	2414	   7249
457	&scorr;&sweep;&b;&b;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn4;&if -W 300 -K 6 -v;&mfs;	19.559	4.158(22%)	15.401(78%)	22	7784	0	7784	2784	0	2878	   7639
458	&scorr;&sweep;&if -W 300 -g -K 6;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b;&if -W 300 -K 6 -v;&mfs;	19.699	4.347(23%)	15.352(77%)	23	7194	0	7194	2784	0	2414	   7127
459	&scorr;&sweep;&synch2;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&dch;&if -W 300 -K 6 -v;&mfs;	22.420	4.830(22%)	17.590(78%)	22	7384	0	7384	2784	0	2414	   7563
460	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	24.043	5.215(22%)	18.828(78%)	22	7360	0	7360	2784	0	2414	   7256
461	&scorr;&sweep;&if -W 300 -g -K 6;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	23.337	4.843(21%)	18.494(79%)	21	7358	0	7358	2784	0	2413	   7452
462	&scorr;&sweep;&if -W 300 -x -K 6;&b;&b;&if -W 300 -K 6 -v;&mfs;	23.918	5.091(22%)	18.827(78%)	22	7313	0	7313	2784	0	2414	   7245
463	&scorr;&sweep;&syn2;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	20.143	4.458(23%)	15.685(77%)	23	7243	0	7243	2784	0	2414	   7154
464	&scorr;&sweep;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;	21.773	4.719(22%)	17.054(78%)	22	7314	0	7314	2784	0	2414	   7235
465	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	25.505	5.463(22%)	20.042(78%)	22	7499	0	7499	2784	0	2414	   7547
466	&scorr;&sweep;&dch;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   7813
