Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
415	&scorr;&sweep;&syn3;&syn4;&dch;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	669	0	669	703	703	1508	    641
416	&scorr;&sweep;&b -d;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	667	0	667	703	703	1205	    640
417	&scorr;&sweep;&syn2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;	3.089	1.123(37%)	1.966(63%)	37	666	0	666	703	703	1205	    639
418	&scorr;&sweep;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	690	0	690	703	703	1205	    663
419	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	659	0	659	703	703	1205	    634
420	&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	691	0	691	703	703	1205	    663
421	&scorr;&sweep;&b -d;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	656	0	656	703	703	1205	    628
422	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.825	0.875(31%)	1.950(69%)	31	669	0	669	703	703	1205	    639
423	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;	2.829	0.875(31%)	1.954(69%)	31	657	0	657	703	703	1205	    628
424	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&dch;&if -W 300 -K 6 -v;&mfs;	2.824	0.875(31%)	1.949(69%)	31	663	0	663	703	703	1205	    635
425	&scorr;&sweep;&dch;&dch -f;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	3.077	1.123(37%)	1.954(63%)	37	673	0	673	703	703	1205	    649
426	&scorr;&sweep;&if -W 300 -y -K 6;&synch2;&b;&if -W 300 -K 6 -v;&mfs;	2.827	0.875(31%)	1.952(69%)	31	664	0	664	703	703	1205	    635
427	&scorr;&sweep;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	2.829	0.875(31%)	1.954(69%)	31	665	0	665	703	703	1205	    636
