Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
463	&scorr;&sweep;&syn2;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	20.106	7.031(35%)	13.075(65%)	35	12574	85	12489	4511	1680	2883	  11913
464	&scorr;&sweep;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;	19.733	7.067(36%)	12.666(64%)	36	12904	85	12819	4511	1680	3325	  12424
465	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	18.572	6.503(36%)	12.069(64%)	36	13421	85	13336	4511	1680	3086	  12846
466	&scorr;&sweep;&dch;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;										1771	  15586
467	&scorr;&sweep;&b -d;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.971	6.598(37%)	11.373(63%)	37	12952	85	12867	4511	1680	3082	  12510
468	&scorr;&sweep;&syn2;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	24.431	8.249(34%)	16.182(66%)	34	12809	85	12724	4511	1680	3325	  12268
469	&scorr;&sweep;&b -d;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;	21.071	7.297(35%)	13.774(65%)	35	12669	85	12584	4511	1680	2883	  12004
470	&scorr;&sweep;&syn2;&synch2;&if -W 300 -K 6 -v;&mfs;	19.396	6.846(36%)	12.550(64%)	36	12633	85	12548	4511	1680	3081	  12112
471	&scorr;&sweep;&b;&syn2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	19.741	7.056(36%)	12.685(64%)	36	13008	85	12923	4511	1680	3081	  12590
472	&scorr;&sweep;&synch2;&if -W 300 -y -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	21.242	6.952(33%)	14.290(67%)	33	12929	85	12844	4511	1680	3084	  12429
473	&scorr;&sweep;&if -W 300 -g -K 6;&synch2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.868	6.314(36%)	11.554(64%)	36	13170	85	13085	4511	1680	3083	  12663
474	&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&b;&if -W 300 -K 6 -v;&mfs;										1789	  17642
475	&scorr;&sweep;&b;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;										1843	  16804
476	&scorr;&sweep;&syn4;&syn2;&b;&if -W 300 -K 6 -v;&mfs;	22.648	7.590(34%)	15.058(66%)	34	12923	85	12838	4511	1680	3325	  12386
477	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;										1790	  17317
