Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
780	&scorr;&sweep;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;	22.159	4.737(22%)	17.422(78%)	22	7447	0	7447	2784	0	2414	   7172
781	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.900	4.471(22%)	16.429(78%)	22	7312	0	7312	2784	0	2414	   7226
782	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.038	4.471(23%)	15.567(77%)	23	7266	0	7266	2784	0	2414	   7207
783	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.140	4.843(22%)	17.297(78%)	22	7337	0	7337	2784	0	2880	   7481
784	&scorr;&sweep;&synch2;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.101	4.223(23%)	14.878(77%)	23	7247	0	7247	2784	0	2414	   7166
785	&scorr;&sweep;&dch;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.324	4.595(22%)	16.729(78%)	22	7366	0	7366	2784	0	2414	   7168
786	&scorr;&sweep;&dch -f;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.807	4.595(23%)	16.212(77%)	23	7292	0	7292	2784	0	2414	   7471
787	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.448	4.471(22%)	15.977(78%)	22	7173	0	7173	2784	0	2415	   7315
788	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.287	4.719(23%)	16.568(77%)	23	7247	0	7247	2784	0	2414	   7580
789	&scorr;&sweep;&dc2;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.011	4.967(22%)	18.044(78%)	22	7348	0	7348	2784	0	2414	   7615
790	&scorr;&sweep;&syn2;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.375	4.524(23%)	15.851(77%)	23	7239	0	7239	2784	0	2414	   7283
791	&scorr;&sweep;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;	20.092	4.477(23%)	15.615(77%)	23	7789	0	7789	2784	0	2414	   7465
792	&scorr;&sweep;&syn3;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.999	4.365(22%)	15.634(78%)	22	7273	0	7273	2784	0	2414	   7362
793	&scorr;&sweep;&syn4;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.375	4.252(22%)	15.123(78%)	22	7609	0	7609	2784	0	2882	   7347
794	&scorr;&sweep;&b;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.083	4.843(22%)	17.240(78%)	22	7276	0	7276	2784	0	2414	   7366
