Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
17516	"&scorr;&sweep;&syn3;&b;&b;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	14519.0
5139	"&scorr;&sweep;&syn2;&syn3;&dch -f;&dc2;&if -W 300 -K 6 -v;&mfs;
"	25.130	8.373	16.757	34	12985	12900	46200	4511	1680	3325.00	12463.0
14067	"&scorr;&sweep;&dch -f;&synch2;&dc2;&b;&if -W 300 -K 6 -v;&mfs;
"	18.462	6.598	11.864	36	13169	13084	46200	4511	1680	3387.00	12638.0
7423	"&scorr;&sweep;&syn4;&dch -f;&if -W 300 -y -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	21.260	7.349	13.911	35	13391	13306	46200	4511	1680	3084.00	12764.0
4390	"&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.418	6.810	12.608	36	13527	13442	46200	4511	1680	3085.00	13040.0
5610	"&scorr;&sweep;&dch;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.309	6.722	11.587	37	13374	13289	46200	4511	1680	3085.00	12813.0
6120	"&scorr;&sweep;&syn3;&syn3;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;
"	23.298	7.714	15.584	34	12774	12689	46200	4511	1680	3325.00	12321.0
15195	"&scorr;&sweep;&b -d;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	18.067	6.577	11.490	37	13519	13434	46200	4511	1680	3083.00	13202.0
17095	"&scorr;&sweep;&syn2;&syn3;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	15801.0
7331	"&scorr;&sweep;&synch2;&b;&if -W 300 -y -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.900	6.600	12.300	35	13076	12991	46200	4511	1680	3083.00	12633.0
18533	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17135.0
18769	"&scorr;&sweep;&synch2;&synch2;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	17276.0
12805	"&scorr;&sweep;&synch2;&syn4;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.674	7.421	14.253	35	13198	13113	46200	4511	1680	3086.00	12770.0
15633	"&scorr;&sweep;&synch2;&synch2;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	19.636	6.907	12.729	36	12948	12863	46200	4511	1680	3084.00	12476.0
7048	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	17.484	6.357	11.127	37	13021	12936	46200	4511	1680	2884.00	12381.0
17788	"&scorr;&sweep;&if -W 300 -y -K 6;&synch2;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	18159.0
20458	"&scorr;&sweep;&b;&b;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"										1789.00	16634.0
18931	"&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17256.0
1422	"&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.938	7.304	13.634	35	13108	13023	46200	4511	1680	3082.00	12627.0
692	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.092	6.846	12.246	36	13280	13195	46200	4511	1680	3083.00	12794.0
14720	"&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&b;&b;&if -W 300 -K 6 -v;&mfs;
"	18.876	6.835	12.041	37	13373	13288	46200	4511	1680	3085.00	12953.0
2248	"&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;
"	19.562	6.722	12.840	35	13714	13629	46200	4511	1680	3085.00	13179.0
20301	"&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.517	6.907	12.610	36	12960	12875	46200	4511	1680	3081.00	12531.0
