Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2669	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.668	6.868(34%)	13.800(66%)	34	13332	85	13247	4511	1680	3084	  12882
2670	&scorr;&sweep;&dc2;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.549	6.724(35%)	12.825(65%)	35	13153	85	13068	4511	1680	3085	  12610
2671	&scorr;&sweep;&syn2;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.882	7.314(34%)	14.568(66%)	34	13169	85	13084	4511	1680	3083	  12700
2672	&scorr;&sweep;&syn3;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.605	7.069(33%)	14.536(67%)	33	13035	85	12950	4511	1680	3084	  12555
2673	&scorr;&sweep;&syn4;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.652	7.421(35%)	14.231(65%)	35	13185	85	13100	4511	1680	3084	  12622
2674	&scorr;&sweep;&b;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.831	7.421(34%)	14.410(66%)	34	13218	85	13133	4511	1680	3084	  12684
2675	&scorr;&sweep;&b -d;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.280	6.803(34%)	13.477(66%)	34	13294	85	13209	4511	1680	3084	  12757
2676	&scorr;&sweep;&synch2;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1790	  17163
2677	&scorr;&sweep;&if -W 300 -x -K 6;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.831	7.094(35%)	13.737(65%)	35	13182	85	13097	4511	1680	3083	  12634
2678	&scorr;&sweep;&if -W 300 -g -K 6;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.445	7.173(36%)	13.272(64%)	36	13292	85	13207	4511	1680	3084	  12805
2679	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	22.743	7.669(34%)	15.074(66%)	34	13209	85	13124	4511	1680	3082	  12657
2680	&scorr;&sweep;&synch2;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.674	7.421(35%)	14.253(65%)	35	13192	85	13107	4511	1680	3084	  12766
2681	&scorr;&sweep;&dch;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.878	6.893(34%)	13.985(66%)	34	13004	85	12919	4511	1680	3085	  12428
2682	&scorr;&sweep;&dch -f;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.459	6.645(35%)	12.814(65%)	35	13022	85	12937	4511	1680	3085	  12448
2683	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.215	6.846(34%)	13.369(66%)	34	13003	85	12918	4511	1680	2884	  12371
2684	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn4;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	23.532	7.572(33%)	15.960(67%)	33	13047	85	12962	4511	1680	3083	  12559
2685	&scorr;&sweep;&dc2;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.286	6.959(35%)	13.327(65%)	35	13147	85	13062	4511	1680	3084	  12593
