Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
1170	&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.772	7.225(35%)	13.547(65%)	35	13112	85	13027	4511	1680	3084	  12675
1171	&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	19.318	6.853(36%)	12.465(64%)	36	13041	85	12956	4511	1680	3084	  12574
1172	&scorr;&sweep;&synch2;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	19.824	7.049(36%)	12.775(64%)	36	12842	85	12757	4511	1680	3386	  12409
1173	&scorr;&sweep;&dch;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.910	8.125(34%)	15.785(66%)	34	12854	85	12769	4511	1680	3628	  12300
1174	&scorr;&sweep;&dch -f;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.355	8.001(35%)	15.354(65%)	35	12908	85	12823	4511	1680	3628	  12362
1175	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.039	6.853(35%)	13.186(65%)	35	12779	85	12694	4511	1680	3187	  12134
1176	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.363	7.094(35%)	13.269(65%)	35	12762	85	12677	4511	1680	3387	  12281
1177	&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	18.177	6.397(36%)	11.780(64%)	36	13293	85	13208	4511	1680	3084	  12798
1178	&scorr;&sweep;&dc2;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  16377
1179	&scorr;&sweep;&syn2;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  16078
1180	&scorr;&sweep;&syn3;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  14559
1181	&scorr;&sweep;&syn4;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  15911
1182	&scorr;&sweep;&b;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  16899
1183	&scorr;&sweep;&b -d;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  17589
1184	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1789	  16813
1185	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1789	  17036
